 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 November 2021,5,The place to stay in Casablanca!,"A superb oasis in the heart of Casa! Really close to the madina and the view (if faced west) is really cool. This isn't a Hyatt issue, but be cautious over the ""sharks"" at the madina pretending that they are part of the hotel -- they are not and will rip you off.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2021,5,Wonderful experience,I had an amazing satay the stuff was so nice.the room was clean and tidy the most thing i liked was the view. The breakfast was the best part I really enjoyed the traditional food and especially “ Msaman” prepared by Ilham and she was super nice all the stuff was nice they took care of us. Thank you so much for all the team of Hayatt Regency. Hope to see you soon☺️,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2021,5,Great Stay In Casablanca,We had a great time staying in Casablanca. The hotel staff were amazing. The room had amazing views of the mosque. The Regency club was amazing. The hotel has a huge pool that the kids loved. It does not have a shallow end but the hotel provided huge blobs for the kids to float on. We would absolutely come back.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2021,5,Good experience,"I had the chance to stay in this hotel and experience its good service and clean and tidy room . Guest service are very responsive and understanding. Best part was the breakfast, traditional food mixed with continental cuisine, we were served by ZKARIA , he was nice to us and introduced the buffet well . Restaurant bar DAR BEIDA was amazing, classy clean , DELICIOUS food and drink , definitely worth the visit.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2021,4,worth to visit,"Perfect location to walk in the down town. Very comfortable place to relaxe. The restaurant M is a very nice place to enjoy some music and great drinks, even to smoke a cigar. The food is good, and the service is very satisfying.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2021,5,The best in. Casablanca,"Exceptional service by all staff members. The breakfast buffet is wonderfull. Yassin, the Lead Concierge and member of Les Clefs d'Or was warm, welcoming and very helpful during my stay. A great pool (the outdoor/pool furniture could use an update)",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2021,5,Comfort - Hygiene - Hospitality,"First and foremost I would start with complimenting the hotel staff. From concierge, receptionist, room service and the spa manager all were so polite and genuinly hospitable. They are auch asset to the Hyatt company. The hotel is clean and located right in the center of the city. The bed is so comfortable and trust me i am not exaggerating. I slept like a baby. The fitness center is well equipped. A big spread out workout space with variety of new equipments. All I can say is that I had an awesome and comfortable stay. I am definitely coming back here. Shilpa",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2021,5,A superb choice for a stay in Casablanca,"Outstanding service, a great hotel with all the facilities you could ask for. Excellent concierge. The breakfast options are tasty, including Moroccan options. The club room was closed due to COVID, but otherwise all was perfect.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2021,5,Very nice hotel,I spent few night with my family in this hotel. Hotel staff was very nice and helpful. Rooms are like new and very clean. Food in the restaurant was very good. Location of hotel is also very good. I highly recommend this hotel.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2021,5,Hyatt Regencey Casablanca,All was wonderful and fantastic however i do not recommend the restaurant for lunch or dinner the breakfast was fantastic! The staff was very helpful and professional the consierge gentleman was very helpful and the best.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2021,5,Amazing Staff and Wonderful Accommodations,"I had the fantastic opportunity to stay at this wonderful hotel and the staff was incredibly hospitable and extremely accommodating. The hotel room and grounds were clean and well presented. The petite dejeuner (breakfast) was delicious (picture below for reference)! Unfortunately, due to health circumstances, the revered hotel night club was closed during my stay. However, you must visit le piscine (the pool) and see the jovial and friendly Simbo, who will kindly provide beverages and cuisine while you socialize (pool picture below for reference). Of course, if you care to venture afoot, the Medina Ancienne (bazaar) is merely across the street from the hotel grounds as well as many other sites, restaurants and social spots throughout the area to include Rick’s Café-…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2021,5,Wonderful Experience at Hyatt Regency Casablanca,"I recommend Hyatt Regency Casablanca. We would like to thank the whole team for the great welcome since we arrived every thing was prefect and the staff were helpful, whatever we requested was up to our expectations the rooms were very good and clean, the F&B team was prefect and helpful and the quality of the food was up to our expectations, really thanks a lot. We would like thank Chef Mohamed the Executive Chef and his lovely team for them support and the organization during our stay and they made our event went very well also for the quality of the food and the quality of the product that they are using and also the atmosphere that they let us to feel, really we appreciate and for sure will come back when we visiting again. Also we would like to thank Chef Habib the Event…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2021,1,Bad service worst experience,Very bad experience and very bad service this hotel is used to hookers and prostitutes so they treat everyone as such and do not appreciate paying clients. Never setting foot back in this hotel or giving business to them and worldwide for that matter. God bless Accor group,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2021,2,Not Impressed,"I found this hotel very underwhelming. When I entered the room, I was assailed by an extreme musty smell which was extremely unpleasant. Thankfully, I was incredibly exhausted or I do not think the smell would have allowed me to sleep. In addition, the drain in the bath took an incredibly long time to drain.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2021,4,Casablanca 2021,All and all is good and brand on rendez-vous just little hiccups from some of the staff maybe lack of experience which is understandable due to covid and low activity. Definitely to use for my coming buz trips. The gym is good.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2021,5,Great Hotel and Wonderful Staff,"First real vacation in over a year and we were not disappointed. Staff, food, beverages and hotel were wonderful. Great location downtown which made it convenient for travel and walking. Would definitely stay if in Casablanca again!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2021,5,Enjoying your stay in Casa,"Very clean and employees taking care of several steps to meet tall the COVID requirement s, to keep every one safe. very helpful friendly employees to answer your enquires to find needed information as well as it is and excellent location .",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2021,5,Hyatt Regency Casablanca,"Excellent stay and food. Hotel and restaurant staff were pleasant, helpful and very courteous. The rooms were very comfortable. The restaurant staff was very engaging and personable. Very warm and welcoming. The property was beautiful as well, well presented.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2021,5,"Great Service, Lacking Facilities","It’s rare to experience hotel staff with such great service from top to bottom. While there were some issues due to the language barrier, we could feel their effort to communicate and meet our needs. Due to the promo we booked, we were upgraded to the executive suite. After the promo period ended, we were offered a package that included breakfast and dinner, and were generally just treated quite well during our 2-week stay. While there were some extremely inconvenient issues with our plumbing in the suite, to the point we needed to move suites. To our disappointment, the issues continued. Given the difficulty of running a hotel during Covid-19, I find it unreasonable to fault the staff for the issues caused by the disrepair of the hotel, but we did ask for some compensation.…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
