 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 December 2019,5,Excellent Service,"We travelled with a 7 year old and a 2 year old. The room had a fantastic view and the hotel was in a great location. Opposite the railway station, next door to a mall with a supermarket. It's also about 30 minutes from the airport. There is well managed parking right outside the hotel. The only addition I would suggest with the room are tissues! The service was exceptional, Ferdous great at reception, Amal and Rajae were brilliant at breakfast along with a chef kept our active son entertained which allowed us to eat the brilliant breakfast in peace. The cleaner Fatima was efficient and cleaned and tidied our room fantastically. Last but not least was the doorman who was also really good with our son. I would definately recommend this hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Great location,We arrived here via bullet train from Rabat. We were able to walk from train station to the hotel. It took about 10 minutes. The check in was very easy. We had booked with Expedia and everything was done correctly. Front desk very helpful with advise about a restaurant. It was excellent.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Great hotel w/ ideal location and extremely courteous staff,"The hotel is ideally located next to the beach, which is what initially prompted me to stay here but the best part of my experience was the courteous behavior of the staff, who went out of their way at every step of our stay to make us feel very comfortable.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Very good stay at the Hilton Garden Inn,The hotel staff is very friendly and always helpful. For the hotel guests there are parking places in the parking garage. If not parking would have been very difficult since it is in the city centre close to a big mall. There are multiple ATM machines in the vicinity and the beach is close by with the promenade around the old city centre.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,2,Can’t even give it a passing grade,"Reception was disorganized and inefficient. Room was bare! No hairdryer, only one pair of slippers, no Kleenex , No hand towel or wash towel. . Shower with slow drain. Dinning room service pathetic . Food quality was good though. Wifi was okay. Gives a bad name under the Hilton brand. Don’t go there if you can avoid it!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Great location,"It’s walking distance from the ONCF train station, steps away from Tanger Mall, and oh there’s a Starbucks inside the train station. I was so happy! The hotel is beautiful and the staff was pleasant and accommodating. The hotel is modern, clean, airy, and overall good quality hotel and staff.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,4,Excellent location,"A good quality of service and an excellent location. Situated in the center of the city of Tangier, it is an ideal hotel for families or couples. The prices are also affordable for such a good located four stars Hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,5,Awesome experience,"Amazing hotel, amazing staff, great location and great breakfast buffet. Would stay again, would recommend to a friend/family. Value for money is really good, regular hotel price but the experience is closer to a 4-5 star luxury hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Brand new nice hotel. Good location just across the beach,This is a new hotel. I believe it is about 3 years old. As such the rooms are really nice and spacious. The shower area was new with a glass and their shower amenities of very good quality. We were travelling with a group of 50 people. Dinner was good. Breakfast was ok. The waiters were overwhelmed by the group and were a little bit slow to respond.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,5,Unexpected Stay at The Hilton,"My boyfriend & I had an Airbnb booked for one night in Tangier before catching the ferry back to Europe. We arrived in the evening, and our Airbnb host never showed up. After standing on the street in the dark and rain for nearly two hours waiting, we decided to give up and get ourselves a room here instead. The receptionists were SO kind, and after hearing our story, gave us a discounted ocean view room and free breakfast for a very reasonable price. The breakfast was AMAZING! They had a huge selection of food and drinks, and also brought us Moroccan mint tea and fruity chocolate waffles while we ate! They were so so friendly, and we are so glad we made the choice to come here. Huge thank you to the ladies at the front last night!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,2,Hotel: Average / Service: Bad,"My family and I had booked to stay in the Hilton Garden Inn Tanger City Centre for one night. We were scheduled to land at the Tangier Airport close to midnight and had arranged for a private airport transfer. I received an email confirmation 2 weeks prior to my stay from the assistant front office manager that my private airport transfer in a hotel car had been booked. We landed in Tangier Airport slightly ahead of schedule. After emerging from passport control and baggage collection, I spent 10+ minutes on the phone with the front desk of the hotel. They told me that there was no airport transfer booked for me. It was only when I told them that my private transfer had been confirmed and gave the email from their assistant front office manager that they realized that I should…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,1,NEVER STAY HERE AGAIN.,"We stayed here for 3 nights. Good location and clean. However, some of the staffs treated us unfriendly, rude and unprofessional. We ordered room service for a pasta on 13th October 2019 at night, requesting 1 more fork and 2 more spare bowls for us. The dish delivered with only 1 set of cutlery. We called room service again and asked if the fork and bowls were coming. The staff apologised that she had forgot. I asked if she would send us later. However, only 2 more bowls came after a few minutes. Luckily the deliverer was smart enough to ask if we have other needs. We finally got 1 more set of cutlery directly from the deliverer, which we had requested in the first calling. We were going to catch the bus to Tetouan on 14th October at 8. It’s not a busy morning and no other…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,"Great Stay, Recommended","Stayed in the Hilton Garden inn hotel in Tangier city for around 7 nights and ill tell you about my expereience the check in was smooth and quick thanks to a lovely receptionist i believe her name is Fatima Zahra, she checked us in to a brilliant room with ocean view even though i hadn't specifically requested it or payed higher in advance. the hotel is updated with a very modern decor. the room was very clean with with all the major amenities you'd expect for a decent hotel, the staff were always very friendly and helpful, in particular Brahim was attentive every morning during our stay at breakfast. Overall great stay with no complaints, I would definitely recommend this hotel if you're in Tangier, as it you'll have a great stay in a great location to everything you'd…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Ok hotel in great location,"This Hilton Garden is located on the same block with banks and a four story mall. Great for convenience. Hotel has security at the main door and a fairly attentive staff that speak French and English, probably Spanish as well. Nice buffet dinner and big breakfast. The rooms are large with comfortable beds and nice linens but basic amenities are missing. No hair dryer in the rooms or Kleenex! Ironing board but the iron is gone! But the biggest mistake is the decor. Nothing looks Moroccan or Arabic in either design or decoration. It could easily be a Hilton in Chicago or LA. Not impressed",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,Geat -location -stay -staff,"We had a great stay. Our second stay we stayed in room 1324 and this room had a great sea view. It is in walking distance of great restaurants and the mall. Breakfast was perfect and a lot of variety. Staff at parking, restaurant, housekeeping and frontdesk are all friendly and helpfull. It was our first time staying in this hotel in Tanger. We stayed before in Tanger in other hotels but we are definitely staying our next visits in the future at the Garden Inn. Huseyin",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,2,SIMPLY AWFUL,"In all my years of travelling I have never stayed at a hotel in the Hilton group & thought to give it a try based on reviews I read in January'19 & its location. There seemed to be a problem with the check-in. After 20 minutes of no communication, I went to enquire if there was a problem. I was ignored & a while later given our card? We had booked a twin & a single room so why one room. They told us they had put all 3 of us in one room!! I refused this & asked them to sort it out as this is not what we had booked or paid for!! Eventually after almost an hour we could go to our rooms. This booking was done 8 months in advance! The beds were comfortable but the bathroom tiny with only shampoo supplied. We had to phone down to request slippers & this took awhile as no one in…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Great breakfast,"It was nice staying in the Hilton, nice front lobby workers , love the breakfast. Great beds and great location Housekeeping need some help, they did not make my room untill I call them, once they did clean the room it was an ok job, no towels , no coffee ,and the bathroom floor was not clean , still had oils from my feet. Otherwise this hotel was great.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Morocco Exploration,"Checked into Hilton Garden Inn for two nights. The folks at the front desk were very pleasant and welcoming. All the staff offered wonderful recommendations for things to do while in the area. Brahim was an absolute rock star in the restaurant. He greeted us each morning with a warm and friendly smile and set the tone for a wonderful day in Tangier. Brahim’s hospitality and incredible service will be the reason we recommend Hilton Garden Inn to family and friends traveling to the area. Thank you Brahim, you’re the best.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Business trip stay,"Good location, good service. Rooms are in acceptable size. You can easily enjoy walking distance to the beach promenade, the new marina. Few steps to train station that can take you to casa in 2h10 min",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,3,Bad Service for a Hilton,It’s not the first time I stayed at the hotel. Most of the times they forget to clean up the room and to pick up the clothes for laundry. They used to say that they found the “do not disturb” outside the door but this is not true. At my last stay I found cockroaches and spiders in my room which is unacceptable for a hotel which name is Hilton!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
