 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 August 2022,5,My favourite place,"I cannot count the number of times I’ve stayed here and every time I leave I’m looking forward to the next time. I go with my best friend to enjoy the relaxation of the hotel and country club, but the position being in the old medina makes it a perfect place to explore from by foot too. Every member of staff is brilliant, so friendly, welcoming and attentive. We love to see them every year and so pleased the place is thriving after the last two horrible years for travel. It’s our home from home for sure. Until next year….Inchallah.",La_Maison_Arabe,Marrakech
 August 2022,5,La Maison Arabe stay,"In the beginning of August, my son and I had the pleasure of staying at the La Maison Arabe for five nights. It was an amazing experience. The whole atmosphere in the hotel was fantastic and very welcoming; the entire staff was very pleasant, polite, and respectful. Our accommodations were wonderful. Beautifully decorated, spacious rooms with nice views. You cannot ask for anything better. Great breakfast with a large variety of options. For two out of the five nights we had dinner at the restaurant in the hotel. The menu had immense variety and there was a blend of numerous cuisines (Italian, Mediterranean, Moroccan, Asian). The food, the presentation of it, and the service were all outstanding. Thank you to all staff at La Maison Arabe for being a part of our unforgettable…",La_Maison_Arabe,Marrakech
 August 2022,5,Amazing beautiful Road Hotel,"We have visit many hotels and riads in Morocco. But la maison Arab is for us one of the best. Not to forget in our live. Amazing, clean, gigh level hosoitality. Great breakfast. Nice beautiful clean rooms",La_Maison_Arabe,Marrakech
 August 2022,5,Great Riad !,"We love it here… we love everything about La Maison Arabe The staff is professional and friendly. They are all proficient in various languages which makes the communication flow easier. The rooms are just perfect, very comfortable and beautifully decorated with local art pieces, the linens are clean and soft, the room temperature is perfect. The breakfast buffet is rich in variety and you will get to also discover some Moroccan delicacies, including handmade Moroccan crepes made to order table side. The overall atmosphere of the hotel is amicable. We got to meet a well traveled physician from Manchester, a family from Maryland, USA, an Austrian couple visiting from Germany. Ms Adil at reception is very professional. Mrs Fatima at reception was very helpful in booking…",La_Maison_Arabe,Marrakech
 August 2022,5,Exceeds all expectations,"A wonderful oasis of peace in the very lively and loud city of Marrakech. I’m a tour director in Europe and stay at fine hotels all over the continent with my Eat and Drink like a European guests and I can say without reservations that this hotel exceeded all expectations. The staff were very kind and helpful to my daughter who ended up arriving one day before me because of an airline error on my flights. Beautiful rooms and public spaces, and a gourmet breakfast. If you’re going to Marrakech, stay here.",La_Maison_Arabe,Marrakech
 July 2022,5,SIMPLY THE BEST! Paradis marocain!,"A real gem!! We initially booked for 4 nights and the experience was so good that we extended it and stayed a week. As soon as you enter La Maison Arabe you are in for a treat. Mourad and Raga at the front desk are outstanding and did everything to make sure we had a magical experience. They are so kind, approachable and provide first class customer service at all times! We used the pool at the country club and this was heaven on earth! The waiters were so attentive and accommodating we felt amazing! Everything was clean and luxurious. We had food there and the club sandwich was AMAZING! The breakfast team welcomes you with a big smile and I was always looking forward to my breakfast- the square crepes with honey YUM YUM!! I also used the SPA and I highly recommend it!…",La_Maison_Arabe,Marrakech
 July 2022,5,An incredible experience.,"What a beautiful boutique hotel. We had an amazing stay. The hammam, the massages, the incredible food and amazing staff, made our stay wonderful. We couldn't have asked for more. The location was perfect for walking to a variety of places.",La_Maison_Arabe,Marrakech
 July 2022,5,One of my best hotel experiences ever.,"Simply put, my stay at Le Maison Arabe was one of the absolute best experiences I have ever had while traveling. I'll start with the service. Every single one of the team members seemed genuinely happy to be there,focused on making sure that every need was met, and that I had a perfect experience. They are knowledgeable, kind and friendly, and were always patient with me as a first-time visitor to Morocco that had 100 questions a day. Special acknowledgement goes to Adil (who is the definition of anticipatory customer service), Raja, and Brahim. It would not surprise me if they were graduates of the St. Regis service program; they are that good. The facilities and spa are also absolutely top-notch. The design and local flavor are at once modern and timeless...I felt like…",La_Maison_Arabe,Marrakech
 June 2022,5,"Authentic, architectural gem","Where to start?! This lovely hotel is a standout among standouts from our two-week trip across Morocco. The service is first-class; the bar and dining room exude old-world elegance similar to what you'd find in Paris and New York; there are layers upon layers of art, tile and richly carved wood; and our room was fit for a king (request the Noor Suite 222 with its own roof top patio). We visited La Mamounia for dinner and I would stay here over there every time.",La_Maison_Arabe,Marrakech
 June 2022,5,Great experience with a very nice and accommodating staff,"This hotel is tucked away and very unassuming from the outside. Inside, it’s very quaint and the rooms are large and comfortable. Food is excellent and they have a menu that can accommodate various palettes. The staff is really nice and we’re very attentive. I truly appreciated the entire staff and will definitely recommend others to have a stay here if they are traveling to Marrakech. P.S. take advantage of the country club- just a short tram ride away to experience the quiet and relaxing pool area and cabanas. Staff and food there are excellent and was a very nice surprise. Massage was awesome too",La_Maison_Arabe,Marrakech
 July 2022,5,Wonderful Experience,A beautiful hotel with the kindest staff. Great breakfast and dinner in a beautiful setting with great live local music. Loved it so much I came back 4 days after and was greeted like I was an old friend. The country club is a super plus for those hours of extra heat. 100% recommended,La_Maison_Arabe,Marrakech
